threshold_shift,diagnostic,count,mean_delta_global_qwk,positive_count_global_qwk,negative_count_global_qwk,mean_delta_macro_f1,positive_count_macro_f1,negative_count_macro_f1,mean_delta_worst_site_qwk,positive_count_worst_site_qwk,negative_count_worst_site_qwk,mean_delta_mean_site_qwk,positive_count_mean_site_qwk,negative_count_mean_site_qwk,mean_delta_global_accuracy,positive_count_global_accuracy,negative_count_global_accuracy
0,mean_abs_error_high,3,-0.0012729910064547,1,1,0.00043417616940073333,1,1,0.007541211887011001,2,0,-2.0098749516366584e-05,1,1,-0.0023529411764705668,1,1
0,severe_error_rate_high,3,-0.0012729910064547,1,1,0.00043417616940073333,1,1,0.007541211887011001,2,0,-2.0098749516366584e-05,1,1,-0.0023529411764705668,1,1
0,site_qwk_spread_high,3,-0.0019005406626111,0,1,-0.0005177505893341333,0,1,0.007294093192882434,1,0,-0.0010221124686587333,0,1,-0.0025098039215686,0,1
0,global_qwk_low,2,0.0009413244842346,1,0,0.0014278901381023,1,0,0.00037067804119285,1,0,0.00150302057871355,1,0,0.00023529411764705,1,0
0,worst_site_qwk_low,2,-0.00285081099391665,0,1,-0.0007766258840012,0,1,0.01094113978932365,1,0,-0.0015331687029881,0,1,-0.0037647058823529,0,1
25,mean_abs_error_high,12,0.0016090172789056502,3,2,0.0036286465578412416,4,1,0.0044104676431301676,3,2,0.0012103010082330085,3,2,0.002784313725490192,4,1
25,global_qwk_low,7,0.002758315335266829,3,2,0.006220536956299272,4,1,0.00756080167393743,3,2,0.002074801728399443,3,2,0.004773109243697471,4,1
25,worst_site_qwk_low,6,0.00037990058138213353,2,2,0.004851776407897616,3,1,0.004660990170383784,2,2,-0.00043051793580158325,2,2,0.003450980392156867,3,1
25,severe_error_rate_high,4,0.00541021605605255,3,1,0.008447170182278026,3,1,0.015302893394942126,3,1,0.00740238019469375,3,1,0.0071764705882352755,3,1
25,site_qwk_spread_high,2,-0.0011663284386712,0,1,0.0048775389824914,1,0,-0.00414298093110325,0,1,-0.00754295433998945,0,1,0.0023529411764706,1,0
35,mean_abs_error_high,14,0.005804664371331271,8,1,0.008983051667370335,9,0,0.010616821983571079,7,2,0.0063425101043231066,9,0,0.007798319327731064,9,0
35,worst_site_qwk_low,10,0.006056632504561569,7,1,0.012330378117647391,8,0,0.01234385866205682,6,2,0.0072701586667061596,8,0,0.00964705882352938,8,0
35,global_qwk_low,8,0.009967668552009224,7,1,0.014313558503484513,8,0,0.019322228241922788,7,1,0.01068810230046116,8,0,0.012411764705882313,8,0
35,severe_error_rate_high,7,0.011719778078229656,7,0,0.015970868473284543,7,0,0.01988216355721507,6,1,0.011600359458718512,7,0,0.014050420168067188,7,0
35,site_qwk_spread_high,4,0.0038519378587570457,3,0,0.01215671594331405,3,0,0.0038867461243131257,1,2,0.003986032697100374,3,0,0.008352941176470525,3,0
45,mean_abs_error_high,15,0.010526980243074415,10,1,0.015118835790296907,11,0,0.012902275298181293,10,1,0.010619007989083381,10,1,0.012799999999999966,11,0
45,worst_site_qwk_low,13,0.012146515665085863,10,1,0.01744481052726566,11,0,0.014887240728670722,10,1,0.01225270152586544,10,1,0.014769230769230729,11,0
45,global_qwk_low,10,0.01593956551952174,10,0,0.02227342370142323,10,0,0.017312442705676268,9,1,0.016281359839829333,10,0,0.01882352941176465,10,0
45,severe_error_rate_high,8,0.018123030846443615,8,0,0.02194071459326615,8,0,0.014375388176129225,7,1,0.018115973570865036,8,0,0.019529411764705837,8,0
45,site_qwk_spread_high,3,0.004928384466758733,2,1,0.012563738795868066,3,0,0.0177927329648804,3,0,0.0051726829401508995,2,1,0.010509803921568564,3,0
