variant,mean_trigger_rate_35_45,mean_global_qwk_delta_35_45,mean_macro_f1_delta_35_45,mean_worst_site_qwk_delta_35_45,significant_global_qwk_regimes_35_45,positive_global_qwk_regimes_35_45
only_mean_abs_error_high,0.9666666666666667,0.008650686733672738,0.014619356556428556,0.010540339536155314,2,2
full,0.6666666666666666,0.007972333494825156,0.011751508673254646,0.011405654574757174,2,2
minus_site_qwk_spread_high,0.6,0.007971233453709732,0.011241423501403648,0.010923408433071524,2,2
only_global_qwk_low,0.6,0.007971233453709732,0.011241423501403648,0.010923408433071524,2,2
minus_worst_site_qwk_low,0.5333333333333333,0.00770285804037146,0.010113995674658737,0.009397142498216634,2,2
only_severe_error_rate_high,0.5,0.007567423110638575,0.009577393201970732,0.00847260834365133,2,2
minus_severe_error_rate_high,0.6333333333333333,0.007282367623057751,0.011669543934364281,0.010565757203109608,1,2
only_worst_site_qwk_low,0.7666666666666666,0.007086399749375253,0.01356768431904206,0.00973943471670082,1,2
minus_global_qwk_low,0.5666666666666667,0.007013992209719477,0.010542116107619372,0.009039491268254717,2,2
minus_mean_abs_error_high,0.5,0.007012892168604052,0.010032030935768375,0.00855724512656907,1,2
only_site_qwk_spread_high,0.23333333333333334,0.001278477028282358,0.0023370478767238117,0.002283529986449099,0,2
