source_file,noise,threshold_shift,seed,clean_strategy,corrupted_strategy,clean_global_qwk,clean_worst_site_qwk,clean_mean_site_qwk,clean_site_qwk_spread,clean_global_accuracy,clean_macro_f1,clean_mean_abs_error,clean_severe_error_rate,clean_mean_overgrade,clean_mean_undergrade,clean_prediction_entropy,corrupted_global_qwk,delta_corrupted_vs_clean_global_qwk,corrupted_worst_site_qwk,delta_corrupted_vs_clean_worst_site_qwk,corrupted_mean_site_qwk,delta_corrupted_vs_clean_mean_site_qwk,corrupted_site_qwk_spread,delta_corrupted_vs_clean_site_qwk_spread,corrupted_global_accuracy,delta_corrupted_vs_clean_global_accuracy,corrupted_macro_f1,delta_corrupted_vs_clean_macro_f1,corrupted_mean_abs_error,delta_corrupted_vs_clean_mean_abs_error,corrupted_severe_error_rate,delta_corrupted_vs_clean_severe_error_rate,corrupted_mean_overgrade,delta_corrupted_vs_clean_mean_overgrade,corrupted_mean_undergrade,delta_corrupted_vs_clean_mean_undergrade,corrupted_prediction_entropy,delta_corrupted_vs_clean_prediction_entropy,detector_failure_count,detector_failed_diagnostics,detector_triggered,chosen_strategy,detector_global_qwk,oracle_global_qwk,delta_detector_vs_clean_global_qwk,detector_regret_vs_oracle_global_qwk,detector_worst_site_qwk,oracle_worst_site_qwk,delta_detector_vs_clean_worst_site_qwk,detector_regret_vs_oracle_worst_site_qwk,detector_mean_site_qwk,oracle_mean_site_qwk,delta_detector_vs_clean_mean_site_qwk,detector_regret_vs_oracle_mean_site_qwk,detector_global_accuracy,oracle_global_accuracy,delta_detector_vs_clean_global_accuracy,detector_regret_vs_oracle_global_accuracy,detector_macro_f1,oracle_macro_f1,delta_detector_vs_clean_macro_f1,detector_regret_vs_oracle_macro_f1,variant,variant_diagnostics,variant_failed_diagnostics,variant_failure_count,variant_triggered,variant_chosen_strategy,variant_global_qwk,delta_variant_vs_clean_global_qwk,variant_macro_f1,delta_variant_vs_clean_macro_f1,variant_worst_site_qwk,delta_variant_vs_clean_worst_site_qwk,variant_mean_site_qwk,delta_variant_vs_clean_mean_site_qwk,variant_global_accuracy,delta_variant_vs_clean_global_accuracy
results\threshold_shift_panda_all_conservative_0_seed_11\predictions.csv,0,0,11,fedavg,cross_site_blend_50,0.7429581080983443,0.7164217698801902,0.7441992641283725,0.0593496863554664,0.5745882352941176,0.5098279114359029,0.6922352941176471,0.0734117647058823,0.208,0.484235294117647,1.156964949139127,0.7337225638667626,-0.0092355442315816,0.7119886879296122,-0.004433081950578,0.743286473704899,-0.0009127904234734,0.0433346987300143,-0.016014987625452,0.5736470588235294,-0.0009411764705882,0.5055207797599799,-0.004307131675923,0.7105882352941176,0.0183529411764705,0.0785882352941176,0.0051764705882352,0.2343529411764706,0.0263529411764706,0.476235294117647,-0.008,1.1778074606925435,0.0208425115534167,0,,False,fedavg,0.7429581080983443,0.7429581080983443,0.0,0.0,0.7164217698801902,0.7164217698801902,0.0,0.0,0.7441992641283725,0.7441992641283725,0.0,0.0,0.5745882352941176,0.5745882352941176,0.0,0.0,0.5098279114359029,0.5098279114359029,0.0,0.0,full,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,,0,False,fedavg,0.7429581080983443,0.0,0.5098279114359029,0.0,0.7164217698801902,0.0,0.7441992641283725,0.0,0.5745882352941176,0.0
results\threshold_shift_panda_all_conservative_0_seed_123\predictions.csv,0,0,123,fedavg,cross_site_blend_50,0.7298328239744079,0.702768825425204,0.732487374863064,0.0713198620093883,0.5694117647058824,0.5055799211566626,0.7134117647058823,0.076235294117647,0.2376470588235294,0.4757647058823529,1.1721565327917418,0.7280400712222352,-0.0017927527521726,0.6825573624415238,-0.0202114629836802,0.7254086963081546,-0.0070786785549094,0.0742889639064762,0.0029691018970878,0.5567058823529412,-0.0127058823529412,0.4949036378409496,-0.0106762833157129,0.7425882352941177,0.0291764705882353,0.0767058823529411,0.0004705882352941,0.3171764705882353,0.0795294117647058,0.4254117647058824,-0.0503529411764705,1.1780110800360235,0.0058545472442819,0,,False,fedavg,0.7298328239744079,0.7298328239744079,0.0,0.0,0.702768825425204,0.702768825425204,0.0,0.0,0.732487374863064,0.732487374863064,0.0,0.0,0.5694117647058824,0.5694117647058824,0.0,0.0,0.5055799211566626,0.5055799211566626,0.0,0.0,full,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,,0,False,fedavg,0.7298328239744079,0.0,0.5055799211566626,0.0,0.702768825425204,0.0,0.732487374863064,0.0,0.5694117647058824,0.0
results\threshold_shift_panda_all_conservative_0_seed_17\predictions.csv,0,0,17,fedavg,cross_site_blend_50,0.7239654930746602,0.6867531239805871,0.7097153911713731,0.0679690886509221,0.5727058823529412,0.5116310736011755,0.7171764705882353,0.0752941176470588,0.1971764705882353,0.52,1.1677552636809072,0.741825343260487,0.0178598501858268,0.6977504245196491,0.010997300539062,0.7270813020050024,0.0173659108336293,0.0776750134260571,0.0097059247751349,0.5835294117647059,0.0108235294117646,0.5224528915476301,0.0108218179464545,0.6832941176470588,-0.0338823529411764,0.068235294117647,-0.0070588235294117,0.1637647058823529,-0.0334117647058823,0.5195294117647059,-0.0004705882352941,1.1786416934641828,0.0108864297832755,0,,False,fedavg,0.7239654930746602,0.7239654930746602,0.0,0.0,0.6867531239805871,0.6867531239805871,0.0,0.0,0.7097153911713731,0.7097153911713731,0.0,0.0,0.5727058823529412,0.5727058823529412,0.0,0.0,0.5116310736011755,0.5116310736011755,0.0,0.0,full,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,,0,False,fedavg,0.7239654930746602,0.0,0.5116310736011755,0.0,0.6867531239805871,0.0,0.7097153911713731,0.0,0.5727058823529412,0.0
results\threshold_shift_panda_all_conservative_0_seed_2025\predictions.csv,0,0,2025,fedavg,cross_site_blend_50,0.6983892617352163,0.6744316058050153,0.7010870185241194,0.0584559494250015,0.5585882352941176,0.5000663744833895,0.7576470588235295,0.0870588235294117,0.2465882352941176,0.5110588235294118,1.1618222006061447,0.6988934439468641,0.0005041822116478,0.677440898806273,0.0030092930012577,0.7014432993023529,0.0003562807782335,0.0543557071565601,-0.0041002422684414,0.5472941176470588,-0.0112941176470587,0.4780140759710345,-0.022052298512355,0.7854117647058824,0.0277647058823529,0.092235294117647,0.0051764705882352,0.2790588235294117,0.0324705882352941,0.5063529411764706,-0.0047058823529412,1.177045535032376,0.0152233344262311,2,global_qwk_low;mean_abs_error_high,False,fedavg,0.6983892617352163,0.6983892617352163,0.0,0.0,0.6744316058050153,0.6744316058050153,0.0,0.0,0.7010870185241194,0.7010870185241194,0.0,0.0,0.5585882352941176,0.5585882352941176,0.0,0.0,0.5000663744833895,0.5000663744833895,0.0,0.0,full,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,global_qwk_low;mean_abs_error_high,2,False,fedavg,0.6983892617352163,0.0,0.5000663744833895,0.0,0.6744316058050153,0.0,0.7010870185241194,0.0,0.5585882352941176,0.0
results\threshold_shift_panda_all_conservative_0_seed_23\predictions.csv,0,0,23,fedavg,cross_site_blend_50,0.7018818577459033,0.6673741964836729,0.7174845380245973,0.1002154031961053,0.56,0.4860606677435226,0.7637647058823529,0.092235294117647,0.228235294117647,0.5355294117647059,1.141851402646168,0.7037645067143725,0.0018826489684692,0.6681155525660587,0.0007413560823857,0.7204905791820245,0.0030060411574271,0.1266562161989222,0.0264408130028168,0.5604705882352942,0.0004705882352941,0.4889164480197272,0.0028557802762046,0.7614117647058823,-0.0023529411764705,0.0941176470588235,0.0018823529411764,0.2197647058823529,-0.0084705882352941,0.5416470588235294,0.0061176470588234,1.1372767953333078,-0.0045746073128603,3,global_qwk_low;mean_abs_error_high;severe_error_rate_high,True,cross_site_blend_50,0.7037645067143725,0.7018818577459033,0.0018826489684692,0.0018826489684692,0.6681155525660587,0.6673741964836729,0.0007413560823857,0.0007413560823857,0.7204905791820245,0.7174845380245973,0.0030060411574271,0.0030060411574271,0.5604705882352942,0.56,0.0004705882352941,0.0004705882352941,0.4889164480197272,0.4860606677435226,0.0028557802762046,0.0028557802762046,full,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,global_qwk_low;mean_abs_error_high;severe_error_rate_high,3,True,cross_site_blend_50,0.7037645067143725,0.001882648968469236,0.4889164480197272,0.0028557802762046447,0.6681155525660587,0.0007413560823857912,0.7204905791820245,0.0030060411574271972,0.5604705882352942,0.00047058823529411153
results\threshold_shift_panda_all_conservative_0_seed_29\predictions.csv,0,0,29,fedavg,cross_site_blend_50,0.726441618643312,0.6865732434961865,0.71804951628285,0.0585544069027084,0.5741176470588235,0.5055895989900184,0.7247058823529412,0.0818823529411764,0.208,0.5167058823529411,1.147105895918461,0.7230326097996407,-0.0034090088436713,0.6763439793223045,-0.010229264173882,0.7209830795282827,0.0029335632454327,0.0931448064797406,0.0345903995770322,0.5764705882352941,0.0023529411764705,0.5123163664565035,0.006726767466485,0.7185882352941176,-0.0061176470588235,0.0828235294117647,0.0009411764705882,0.2428235294117647,0.0348235294117647,0.4757647058823529,-0.0409411764705882,1.1457565392719873,-0.0013493566464737,0,,False,fedavg,0.726441618643312,0.726441618643312,0.0,0.0,0.6865732434961865,0.6865732434961865,0.0,0.0,0.71804951628285,0.71804951628285,0.0,0.0,0.5741176470588235,0.5741176470588235,0.0,0.0,0.5055895989900184,0.5055895989900184,0.0,0.0,full,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,,0,False,fedavg,0.726441618643312,0.0,0.5055895989900184,0.0,0.6865732434961865,0.0,0.71804951628285,0.0,0.5741176470588235,0.0
results\threshold_shift_panda_all_conservative_0_seed_31\predictions.csv,0,0,31,fedavg,cross_site_blend_50,0.7086968931815969,0.6738253917670043,0.7083238904839249,0.0518022247570875,0.5496470588235294,0.490416290241764,0.7463529411764706,0.0828235294117647,0.2395294117647058,0.5068235294117647,1.1670994637757055,0.7165003903666098,0.0078034971850129,0.6904800881334037,0.0166546963663993,0.7226313294886846,0.0143074390047597,0.0581068647975383,0.0063046400404508,0.5534117647058824,0.003764705882353,0.4950671262046908,0.0046508359629268,0.7557647058823529,0.0094117647058823,0.0847058823529411,0.0018823529411764,0.2875294117647058,0.0479999999999999,0.4682352941176471,-0.0385882352941175,1.1520586233386354,-0.0150408404370703,0,,False,fedavg,0.7086968931815969,0.7086968931815969,0.0,0.0,0.6738253917670043,0.6738253917670043,0.0,0.0,0.7083238904839249,0.7083238904839249,0.0,0.0,0.5496470588235294,0.5496470588235294,0.0,0.0,0.490416290241764,0.490416290241764,0.0,0.0,full,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,,0,False,fedavg,0.7086968931815969,0.0,0.490416290241764,0.0,0.6738253917670043,0.0,0.7083238904839249,0.0,0.5496470588235294,0.0
results\threshold_shift_panda_all_conservative_0_seed_37\predictions.csv,0,0,37,fedavg,cross_site_blend_50,0.7169013513435238,0.7072214848478993,0.7205745926518567,0.0417600381363131,0.5755294117647058,0.5218186688693097,0.7138823529411765,0.0823529411764705,0.1872941176470588,0.5265882352941177,1.1259510238729171,0.7209045782831497,0.0040032269396258,0.7026297227340665,-0.0045917621138327,0.7245873212371869,0.0040127285853301,0.0390353396576449,-0.0027246984786681,0.5604705882352942,-0.0150588235294116,0.4917730629816231,-0.0300456058876866,0.7331764705882353,0.0192941176470587,0.0847058823529411,0.0023529411764705,0.2258823529411764,0.0385882352941176,0.5072941176470588,-0.0192941176470589,1.2102201270375847,0.0842691031646674,0,,False,fedavg,0.7169013513435238,0.7169013513435238,0.0,0.0,0.7072214848478993,0.7072214848478993,0.0,0.0,0.7205745926518567,0.7205745926518567,0.0,0.0,0.5755294117647058,0.5755294117647058,0.0,0.0,0.5218186688693097,0.5218186688693097,0.0,0.0,full,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,,0,False,fedavg,0.7169013513435238,0.0,0.5218186688693097,0.0,0.7072214848478993,0.0,0.7205745926518567,0.0,0.5755294117647058,0.0
results\threshold_shift_panda_all_conservative_0_seed_41\predictions.csv,0,0,41,fedavg,cross_site_blend_50,0.7313483114760122,0.6692838566912203,0.7434729817875875,0.1428779212439995,0.5665882352941176,0.5004526523110261,0.72,0.0767058823529411,0.2357647058823529,0.484235294117647,1.1680296642247314,0.7212868239213154,-0.0100614875546968,0.6863423149808671,0.0170584582896468,0.7288710149947588,-0.0146019667928286,0.1169524129992917,-0.0259255082447078,0.56,-0.0065882352941175,0.4852339061395143,-0.0152187461715117,0.7421176470588235,0.0221176470588235,0.0809411764705882,0.004235294117647,0.2470588235294117,0.0112941176470588,0.4950588235294118,0.0108235294117647,1.148595782922415,-0.0194338813023164,1,site_qwk_spread_high,False,fedavg,0.7313483114760122,0.7313483114760122,0.0,0.0,0.6692838566912203,0.6692838566912203,0.0,0.0,0.7434729817875875,0.7434729817875875,0.0,0.0,0.5665882352941176,0.5665882352941176,0.0,0.0,0.5004526523110261,0.5004526523110261,0.0,0.0,full,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,site_qwk_spread_high,1,False,fedavg,0.7313483114760122,0.0,0.5004526523110261,0.0,0.6692838566912203,0.0,0.7434729817875875,0.0,0.5665882352941176,0.0
results\threshold_shift_panda_all_conservative_0_seed_42\predictions.csv,0,0,42,fedavg,cross_site_blend_50,0.7072566694854118,0.6673300346903428,0.7161831406854237,0.14113790627812,0.5694117647058824,0.5159724605549763,0.7327058823529412,0.0809411764705882,0.2070588235294117,0.5256470588235295,1.1758076450075134,0.6934701255508754,-0.0137865439345363,0.6608777559281085,-0.0064522787622343,0.7057812801177772,-0.0104018605676464,0.1200084261559242,-0.0211294801221958,0.5585882352941176,-0.0108235294117647,0.496155205606327,-0.0198172549486492,0.7651764705882353,0.0324705882352941,0.0884705882352941,0.0075294117647058,0.220235294117647,0.0131764705882352,0.5449411764705883,0.0192941176470587,1.151800860179836,-0.0240067848276774,2,worst_site_qwk_low;site_qwk_spread_high,False,fedavg,0.7072566694854118,0.7072566694854118,0.0,0.0,0.6673300346903428,0.6673300346903428,0.0,0.0,0.7161831406854237,0.7161831406854237,0.0,0.0,0.5694117647058824,0.5694117647058824,0.0,0.0,0.5159724605549763,0.5159724605549763,0.0,0.0,full,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,worst_site_qwk_low;site_qwk_spread_high,2,False,fedavg,0.7072566694854118,0.0,0.5159724605549763,0.0,0.6673300346903428,0.0,0.7161831406854237,0.0,0.5694117647058824,0.0
