variant,threshold_shift,runs,triggered_runs,trigger_rate,mean_failure_count,mean_failure_count_when_triggered,mean_delta_global_qwk,sd_delta_global_qwk,ci95_low_global_qwk,ci95_high_global_qwk,positive_seed_count_global_qwk,negative_seed_count_global_qwk,mean_delta_macro_f1,sd_delta_macro_f1,ci95_low_macro_f1,ci95_high_macro_f1,positive_seed_count_macro_f1,negative_seed_count_macro_f1,mean_delta_worst_site_qwk,sd_delta_worst_site_qwk,ci95_low_worst_site_qwk,ci95_high_worst_site_qwk,positive_seed_count_worst_site_qwk,negative_seed_count_worst_site_qwk,mean_delta_mean_site_qwk,sd_delta_mean_site_qwk,ci95_low_mean_site_qwk,ci95_high_mean_site_qwk,positive_seed_count_mean_site_qwk,negative_seed_count_mean_site_qwk,mean_delta_global_accuracy,sd_delta_global_accuracy,ci95_low_global_accuracy,ci95_high_global_accuracy,positive_seed_count_global_accuracy,negative_seed_count_global_accuracy
full,0,15,2,0.13333333333333333,0.8666666666666667,3.5,-0.00025459820129093794,0.0015829573762223346,-0.0011312979617796744,0.0006221015591977986,1,1,8.68352338801485e-05,0.0008641662651330806,-0.0003917716882295514,0.0005654421559898484,1,1,0.0015082423774022062,0.005639540523103032,-0.0016151416758501008,0.004631626430654514,2,0,-4.019749903272363e-06,0.0011476207110986604,-0.0006396141238675113,0.0006315746240609666,1,1,-0.00047058823529411896,0.0019565219779301203,-0.0015541817515868565,0.0006130052809986187,1,1
full,25,15,5,0.3333333333333333,2.066666666666667,3.8,0.001287213823124526,0.005476905159406437,-0.0017460968102482948,0.004320524456497347,3,2,0.0029029172462730142,0.008571571836490635,-0.0018443331149444572,0.007650167607490486,4,1,0.003528374114504144,0.014092860424184927,-0.004276768047926872,0.01133351627693516,3,2,0.0009682408065864105,0.007177419009374931,-0.0030068766671784044,0.004943358280351225,3,2,0.0022274509803921574,0.005824839283408733,-0.00099855831168152,0.005453460272465835,4,1
full,35,15,9,0.6,2.8666666666666667,3.888888888888889,0.005417686746575871,0.008662333730690884,0.0006201691247851842,0.010215204368366558,8,1,0.008384181556212345,0.010223210637848782,0.002722193146254631,0.014046169966170058,9,0,0.009909033851333023,0.01484557118821422,0.0016870129046377066,0.01813105479802834,7,2,0.005919676097368268,0.007603144737730261,0.0017087761257994268,0.01013057606893711,9,0,0.0072784313725490135,0.00773637135569201,0.0029937456213930246,0.011563117123705002,9,0
full,45,15,11,0.7333333333333333,3.2666666666666666,3.909090909090909,0.010526980243074443,0.014683035369030064,0.0023949775848624514,0.018658982901286432,10,1,0.015118835790296947,0.01250276239866849,0.008194348141413663,0.02204332343918023,11,0,0.012902275298181325,0.013428175313164396,0.0054652600900103095,0.020339290506352338,10,1,0.010619007989083417,0.013236816493818592,0.0032879743023405,0.017950041675826336,10,1,0.012799999999999997,0.010331834864429585,0.0070778515157047615,0.01852214848429523,11,0
minus_global_qwk_low,0,15,1,0.06666666666666667,0.7333333333333333,4.0,-0.00038010813252222034,0.0014721524670165613,-0.001195440076782383,0.0004352238117379423,0,1,-0.00010355011786682781,0.00040104788199603916,-0.00032566512069117347,0.00011856488495751781,0,1,0.0014588186385764868,0.00564998029234371,-0.0016703473411700768,0.0045879846183230506,1,0,-0.00020442249373175218,0.0007917249138132662,-0.0006429087427863605,0.00023406375532285617,0,1,-0.0005019607843137263,0.0019440857580962756,-0.0015786666666666692,0.0005747450980392166,0,1
minus_global_qwk_low,25,15,4,0.26666666666666666,1.6,3.0,0.00015196023255285387,0.003321769253301602,-0.001687757218158422,0.0019916776832641296,2,2,0.0019407105631590613,0.007974065083907035,-0.002475618678672016,0.006357039804990138,3,1,0.0018643960681535177,0.012795475248741998,-0.005222206675808218,0.008950998812115253,2,2,-0.000172207174320634,0.005620069113554578,-0.003284807247951047,0.002940392899309779,2,2,0.0013803921568627494,0.005066725637280299,-0.0014257460369946431,0.004186530350720142,3,1
minus_global_qwk_low,35,15,7,0.4666666666666667,2.3333333333333335,3.2857142857142856,0.004190894878476651,0.007528972765640378,2.1074061118115175e-05,0.008360715695835188,7,0,0.008039426164105997,0.010470110386622928,0.0022406956321768196,0.013838156696035175,7,0,0.007202393705712769,0.01441245371150962,-0.0007797509222679019,0.01518453833369344,5,2,0.0045599522982934905,0.007297445886936572,0.0005183595445299033,0.008601545052057078,7,0,0.006368627450980391,0.007846005077934827,0.0020232225298230325,0.01071403237213775,7,0
minus_global_qwk_low,45,15,10,0.6666666666666666,2.6,3.1,0.009837089540962303,0.014933011267941379,0.0015666410761888561,0.01810753800573575,9,1,0.013044806051132748,0.01223808619415895,0.00626690577635447,0.019822706325911026,10,0,0.010876588830796667,0.012883222938823869,0.0037413882028781292,0.018011789458715205,9,1,0.009683316437517757,0.013472048712572779,0.0022220025341759663,0.01714463034085955,9,1,0.011670588235294115,0.01076373692658895,0.005709236573366051,0.017631939897222178,10,0
minus_mean_abs_error_high,0,15,1,0.06666666666666667,0.6666666666666666,3.0,-0.00038010813252222034,0.0014721524670165613,-0.001195440076782383,0.0004352238117379423,0,1,-0.00010355011786682781,0.00040104788199603916,-0.00032566512069117347,0.00011856488495751781,0,1,0.0014588186385764868,0.00564998029234371,-0.0016703473411700768,0.0045879846183230506,1,0,-0.00020442249373175218,0.0007917249138132662,-0.0006429087427863605,0.00023406375532285617,0,1,-0.0005019607843137263,0.0019440857580962756,-0.0015786666666666692,0.0005747450980392166,0,1
minus_mean_abs_error_high,25,15,4,0.26666666666666666,1.2666666666666666,3.0,0.00015196023255285387,0.003321769253301602,-0.001687757218158422,0.0019916776832641296,2,2,0.0019407105631590613,0.007974065083907035,-0.002475618678672016,0.006357039804990138,3,1,0.0018643960681535177,0.012795475248741998,-0.005222206675808218,0.008950998812115253,2,2,-0.000172207174320634,0.005620069113554578,-0.003284807247951047,0.002940392899309779,2,2,0.0013803921568627494,0.005066725637280299,-0.0014257460369946431,0.004186530350720142,3,1
